"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"P.S. 329 Surfside","K329","6298842","559","11268.0537","General Academic","Elementary","2929 WEST 30 STREET","BROOKLYN","NY","11224","K","40.57470440000000","-73.99609070000000","[-73.9960907,40.5747044]","EMS","C",,,,,,,,,,,"2.212","20","44","29","6","2.585","6","45","32","16"
"P.S. 332 Charles H. Houston","K332","5668075","500","11336.1500","General Academic","K-8","51 CHRISTOPHER AVENUE","BROOKLYN","NY","11212","K","40.67252830000000","-73.90656140000000","[-73.9065614,40.6725283]","EMS","F",,,,,,,,,,,"2.000","28","46","24","2","2.010","27","49","16","6"
"P.S. 333 - The Museum School","X333","4816291","476","10118.2584","General Academic","Elementary","888 REV J A POLITE AVE","BRONX","NY","10459","X","40.82203400000000","-73.89891320000000","[-73.8989132,40.822034]","EC","C",,,,,,,,,,,"2.111","24","44","27","4","2.200","20","49","22","9"
"P.S. 333 Manhattan School for Children","M333","6096100","697","8746.1980","General Academic","K-8","154 WEST 93 STREET","MANHATTAN","NY","10025","M","40.79166970000000","-73.97072620000000","[-73.9707262,40.7916697]","EMS","C",,,,,,,,,,,"2.785","3","31","48","16","2.878","3","32","38","26"
"P.S. 335 Granville T. Woods","K335","4788996","436","10983.9358","General Academic","Elementary","130 ROCHESTER AVENUE","BROOKLYN","NY","11213","K","40.67405100000001","-73.92784999999999","[-73.92784999999999,40.67405100000001]","EMS","B",,,,,,,,,,,"2.656","7","34","44","14","2.848","5","29","41","24"
"P.S. 340","X340","4630372","544","8511.7132","General Academic","Elementary","25 WEST 195 STREET","BRONX","NY","10468","X","40.86942890000000","-73.89716100000001","[-73.89716100000001,40.8694289]","EMS","B",,,,,,,,,,,"2.153","16","53","27","2","2.555","7","42","38","12"
"P.S. 345 Patrolman Robert Bolden","K345","6667090","730","9133.0000","General Academic","Elementary","111 BERRIMAN STREET","BROOKLYN","NY","11208","K","40.67612400000000","-73.88032869999999","[-73.88032869999999,40.676124]","EMS","B",,,,,,,,,,,"2.132","21","46","28","3","2.444","12","45","28","14"
"P.S. 346 Abe Stark","K346","6611369","786","8411.4109","General Academic","Elementary","1400 PENNSYLVANIA AVENUE","BROOKLYN","NY","11239","K","40.64683880000000","-73.88166100000000","[-73.881661,40.6468388]","EMS","C",,,,,,,,,,,"2.383","11","45","37","6","2.494","8","46","33","12"
"P.S. 35 The Clove Valley School","R035","2272259","346","6567.2225","General Academic","Elementary","60 FOOTE AVENUE","STATEN ISLAND","NY","10301","R","40.61357790000000","-74.09895890000000","[-74.0989589,40.6135779]","EMS","C",,,,,,,,,,,"2.747","4","34","44","17","2.959","2","25","47","25"
"P.S. 360","X360","3957924","482","8211.4606","General Academic","Elementary","2880 KINGSBRIDGE TERRACE","BRONX","NY","10463","X","40.87471800000000","-73.90220900000000","[-73.902209,40.874718]","EMS","B",,,,,,,,,,,"2.153","17","50","30","1","2.464","11","45","29","14"
"P.S. 361 East Flatbush Early Childhood School","K361","5888613","627","9391.7273","General Academic","Early Childhood","3109 NEWKIRK AVENUE","BROOKLYN","NY","11226","K","40.64006759999999","-73.94736259999999","[-73.94736259999999,40.64006759999999]","EC","C",,,,,,,,,,,,,,,,,,,,
"P.S. 375 Jackie Robinson School","K375","5449505","554","9836.6516","General Academic","Elementary","46 MCKEEVER PLACE","BROOKLYN","NY","11225","K","40.66500150000000","-73.95903690000000","[-73.9590369,40.6650015]","EMS","B",,,,,,,,,,,"2.183","18","47","30","3","2.444","9","47","33","10"
"P.S. 376","K376","5725505","610","9386.0738","General Academic","Elementary","194 HARMAN STREET","BROOKLYN","NY","11237","K","40.69804800000000","-73.92016600000001","[-73.92016600000001,40.698048]","EMS","B",,,,,,,,,,,"2.323","16","43","32","8","2.724","9","33","32","24"
"P.S. 377 Alejandrina B. De Gautier","K377","7536502","805","9362.1143","General Academic","K-8","200 WOODBINE STREET","BROOKLYN","NY","11221","K","40.69394380000000","-73.91511640000000","[-73.9151164,40.6939438]","EMS","B",,,,,,,,,,,"2.090","18","56","23","2","2.424","10","45","36","8"
"P.S. 38 Roberto Clemente","M038","3814078","307","12423.7068","General Academic","Elementary","232 EAST 103 STREET","MANHATTAN","NY","10029","M","40.78866499999999","-73.94478500000000","[-73.944785,40.78866499999999]","EMS","C",,,,,,,,,,,"2.091","20","51","25","2","2.306","12","52","26","8"
"P.S. 380 John Wayne Elementary","K380","6094605","553","11020.9855","General Academic","Elementary","370 MARCY AVENUE","BROOKLYN","NY","11206","K","40.70177100000000","-73.95369000000000","[-73.95369,40.701771]","EMS","A",,,,,,,,,,,"2.899","2","23","57","17","3.222","0","17","43","39"
"P.S. 39 Francis J. Murphy Jr.","R039","3648754","519","7030.3545","General Academic","Elementary","71 SAND LANE","STATEN ISLAND","NY","10305","R","40.59761310000000","-74.07140530000000","[-74.0714053,40.5976131]","EMS","C",,,,,,,,,,,"2.505","9","38","45","7","2.979","3","24","44","28"
"P.S. 396","X396","4852557","249","19488.1807","General Academic","Elementary","1930 ANDREWS AVENUE","BRONX","NY","10453","X","40.85433200000000","-73.91300400000000","[-73.913004,40.854332]","EMS","B",,,,,,,,,,,"2.336","11","50","30","7","2.979","2","23","48","25"
"P.S. 397 Foster-Laurie","K397","3762995","419","8980.8950","General Academic","Elementary","490 FENIMORE STREET","BROOKLYN","NY","11203","K","40.65865800000000","-73.94637200000000","[-73.946372,40.658658]","EMS","B",,,,,,,,,,,"2.151","20","50","23","6","2.255","15","50","26","7"
"P.S. 398 Walter Weaver","K398","5321579","360","14782.1639","General Academic","Elementary","60 EAST 94 STREET","BROOKLYN","NY","11212","K","40.66437530000000","-73.92788220000000","[-73.9278822,40.6643753]","EMS","B",,,,,,,,,,,"2.380","18","36","36","10","2.663","11","32","34","21"
"P.S. 399 Stanley Eugene Clark","K399","3811601","481","7924.3264","General Academic","Elementary","2707 ALBERMARLE ROAD","BROOKLYN","NY","11226","K","40.64804640000000","-73.95154099999999","[-73.95154099999999,40.6480464]","EMS","A",,,,,,,,,,,"3.000","2","19","55","23","3.300","0","16","38","46"
"P.S. 506: The School of Journalism & Technology","K506","6634132","774","8571.2300","General Academic","Elementary","330 59 STREET","BROOKLYN","NY","11220","K","40.64193700000000","-74.01931300000000","[-74.019313,40.641937]","EMS","B",,,,,,,,,,,"2.232","21","41","30","7","2.636","9","38","32","20"
"P.S. 56 The Louis Desario School","R056","6631461","769","8623.4863","General Academic","Elementary","250 KRAMER AVENUE","STATEN ISLAND","NY","10309","R","40.54183800000000","-74.21393700000000","[-74.213937,40.541838]","EMS","C",,,,,,,,,,,"2.755","4","27","56","11","3.262","1","15","40","43"
"P.S. 58 - School of Heroes","Q058","7187933","964","7456.3620","General Academic","Elementary","72-24 GRAND AVENUE","QUEENS","NY","11378","Q","40.72851000000000","-73.89060300000000","[-73.890603,40.72851]","EMS","A",,,,,,,,,,,"2.704","7","28","50","13","3.131","3","19","39","38"
"P.S. 6 Corporal Allan F. Kivlehan School","R006","7093921","867","8182.1465","General Academic","Elementary","555 PAGE AVENUE","STATEN ISLAND","NY","10307","R","40.51018699999999","-74.23013999999999","[-74.23013999999999,40.51018699999999]","EMS","C",,,,,,,,,,,"2.656","7","31","50","11","3.141","2","19","41","37"
"P.S. 65 - The Raymond York Elementary School","Q065","4669727","550","8490.4127","General Academic","Elementary","103-22 99 STREET","QUEENS","NY","11417","Q","40.68227200000000","-73.84164799999999","[-73.84164799999999,40.682272]","EMS","C",,,,,,,,,,,"2.525","9","40","39","11","2.828","6","30","38","25"
"P.S. 65 The Academy of Innovative Learning","R065","1798197","214","8402.7897","General Academic","Early Childhood","98 GRANT STREET","STATEN ISLAND","NY","10301","R","40.63368300000000","-74.07836200000000","[-74.078362,40.633683]",,,,,,,,,,,,,,,,,,,,,,
"P.S. 66","K066","5006008","749","6683.5888","General Academic","K-8","845 EAST 96 STREET","BROOKLYN","NY","11236","K","40.64873600000000","-73.90706399999999","[-73.90706399999999,40.648736]","EMS","A",,,,,,,,,,,"2.343","7","55","33","4","3.110","2","20","43","35"
"P.S. 69 Vincent D. Grippo School","K069","6793037","878","7736.9442","General Academic","Elementary","6302 9TH AVENUE","BROOKLYN","NY","11220","K","40.63232910000000","-74.00970040000000","[-74.0097004,40.6323291]","EMS","A",,,,,,,,,,,"2.408","17","32","41","8","3.060","4","20","41","34"
"P.S. 75 School of Research and Discovery","X075","6935501","654","10604.7416","General Academic","Elementary","984 FAILE STREET","BRONX","NY","10459","X","40.82229000000000","-73.88896000000000","[-73.88896,40.82229]","EMS","B",,,,,,,,,,,"2.181","16","53","26","4","2.676","9","33","38","19"
"P.S. 77 Lower Lab School","M077","2812486","354","7944.8757","General Academic","Elementary","1700 3 AVENUE","MANHATTAN","NY","10128","M","40.78492720000000","-73.94978630000000","[-73.9497863,40.7849272]","EMS","A",,,,,,,,,,,"3.404","3","2","46","48","3.740","2","3","14","81"
"P.S. 8 Shirlee Solomon","R008","4240068","416","10192.4712","General Academic","Elementary","112 LINDENWOOD ROAD","STATEN ISLAND","NY","10308","R","40.54789770000000","-74.15191580000000","[-74.1519158,40.5478977]","EMS","A",,,,,,,,,,,"2.949","3","21","53","22","3.323","1","12","40","46"
"P.S. 81Q Jean Paul Richter","Q081","9067785","1136","7982.2051","General Academic","Elementary","559 CYPRESS AVENUE","QUEENS","NY","11385","Q","40.69277630000000","-73.89496419999999","[-73.89496419999999,40.6927763]","EMS","A",,,,,,,,,,,"2.404","10","46","36","7","2.710","7","35","38","20"
"P.S. 89","M089","4222013","545","7746.8128","General Academic","Elementary","201 WARREN STREET","MANHATTAN","NY","10282","M","40.71658760000000","-74.01350640000000","[-74.0135064,40.7165876]","EMS","B",,,,,,,,,,,"3.020","4","16","53","26","3.350","1","11","40","48"
"P.S. 9 Ryer Avenue Elementary School","X009","6072757","670","9063.8164","General Academic","Elementary","230 EAST 183 STREET","BRONX","NY","10458","X","40.85718019999999","-73.89915810000000","[-73.8991581,40.85718019999999]","EMS","C",,,,,,,,,,,"2.020","24","50","22","2","2.214","14","54","25","5"
"P.S. 90 Edna Cohen School","K090","5646009","506","11158.1206","General Academic","Elementary","2840 WEST 12 STREET","BROOKLYN","NY","11224","K","40.57818500000000","-73.98040390000000","[-73.9804039,40.578185]","EMS","B",,,,,,,,,,,"2.313","15","45","32","7","2.530","10","43","28","17"
"P.S. 97 The Highlawn","K097","6069232","796","7624.6633","General Academic","Elementary","1855 STILLWELL AVENUE","BROOKLYN","NY","11223","K","40.60142510000000","-73.98613000000000","[-73.98613,40.6014251]","EMS","A",,,,,,,,,,,"2.666","7","32","47","13","3.040","4","23","37","35"
"P.S. K134","K134","4243418","471","9009.3800","General Academic","Elementary","4001 18 AVENUE","BROOKLYN","NY","11218","K","40.63237620000000","-73.97334339999999","[-73.97334339999999,40.6323762]","EMS","A",,,,,,,,,,,"2.798","6","26","49","18","3.262","4","16","29","50"
"P.S. K225 - The Eileen E. Zaglin","K225","9430499","910","10363.1857","General Academic","K-8","1075 OCEAN VIEW AVENUE","BROOKLYN","NY","11235","K","40.58015990000000","-73.95869630000000","[-73.9586963,40.5801599]","EMS","A",,,,,,,,,,,"2.404","12","42","38","7","2.816","5","31","39","23"
"P.S. K315","K315","6247928","802","7790.4339","General Academic","Elementary","2310 GLENWOOD ROAD","BROOKLYN","NY","11210","K","40.63261900000000","-73.95426300000001","[-73.95426300000001,40.632619]","EMS","B",,,,,,,,,,,"2.505","7","43","41","8","2.757","5","35","38","21"
"P.S. Q016 The Nancy DeBenedittis School","Q016","10139839","1483","6837.3830","General Academic","Elementary","41-15 104 STREET","QUEENS","NY","11368","Q","40.74898600000000","-73.86053500000000","[-73.860535,40.748986]","EMS","B",,,,,,,,,,,"2.585","8","36","44","11","2.929","4","26","42","27"
"P.S. Q086","Q086","7048636","926","7611.9179","General Academic","Elementary","87-41 PARSONS BOULEVARD","QUEENS","NY","11432","Q","40.70921389999999","-73.80242260000000","[-73.8024226,40.70921389999999]","EMS","B",,,,,,,,,,,"2.282","17","43","33","6","2.555","11","39","32","17"
"P.S. Q222 - Fire Fighter Christopher A. Santora School","Q222","3085625","329","9378.7994","General Academic","Early Childhood","86-15 37 AVENUE","QUEENS","NY","11372","Q","40.75043400000000","-73.87997299999999","[-73.87997299999999,40.750434]","EC","A",,,,,,,,,,,,,,,,,,,,
"P.S. X014 Senator John Calandra","X014","5177313","562","9212.3007","General Academic","Elementary","3041 BRUCKNER BOULEVARD","BRONX","NY","10461","X","40.83542650000000","-73.82543540000000","[-73.8254354,40.8354265]","EMS","C",,,,,,,,,,,"2.454","11","39","42","7","2.780","5","33","41","21"
"P.S. X015 Institute for Environmental Learning","X015","5024370","577","8707.7470","General Academic","K-8","2195 ANDREWS AVENUE","BRONX","NY","10453","X","40.85922100000000","-73.90976100000000","[-73.909761,40.859221]","EMS","A",,,,,,,,,,,"2.393","10","46","37","6","3.030","4","24","37","35"
"P.S. X037 - Multiple Intelligence School","X037","6155399","586","10504.0939","General Academic","K-8","360 WEST 230 STREET","BRONX","NY","10463","X","40.87998150000000","-73.91029929999999","[-73.91029929999999,40.8799815]","EMS","B",,,,,,,,,,,"2.173","15","53","28","2","2.581","9","39","34","16"
"P.S. X088 - S. Silverstein Little Sparrow School","X088","3313104","292","11346.2466","General Academic","Elementary","1340 SHERIDAN AVENUE","BRONX","NY","10456","X","40.83701960000000","-73.91354919999999","[-73.91354919999999,40.8370196]","EC","B",,,,,,,,,,,"2.303","15","48","27","9","2.828","3","30","47","19"
"P.S. X114 - Luis Llorens Torres Schools","X114","7077672","773","9156.1087","General Academic","Elementary","1155 CROMWELL AVENUE","BRONX","NY","10452","X","40.83501740000000","-73.92320690000000","[-73.9232069,40.8350174]","EMS","B",,,,,,,,,,,"2.070","24","47","25","3","2.151","22","47","23","7"
"P.S. X140 The Eagle School","X140","5659235","599","9447.8047","General Academic","Elementary","916 EAGLE AVENUE","BRONX","NY","10456","X","40.82345590000000","-73.90782050000000","[-73.9078205,40.8234559]","EMS","C",,,,,,,,,,,"2.121","23","47","23","6","2.428","10","43","38","7"
"P.S./ I.S. 155 Nicholas Herkimer","K155","5554291","573","9693.3525","General Academic","K-8","1355 HERKIMER STREET","BROOKLYN","NY","11233","K","40.67741590000000","-73.90876750000000","[-73.9087675,40.6774159]","EMS","B",,,,,,,,,,,"2.141","19","50","27","3","2.306","13","50","27","8"
"P.S./ IS 178 Holliswood","Q178","3944155","500","7888.3100","General Academic","K-8","189-10 RADNOR ROAD","QUEENS","NY","11423","Q","40.72440080000000","-73.77747510000000","[-73.7774751,40.7244008]","EMS","B",,,,,,,,,,,"2.747","5","28","53","13","3.255","2","14","39","43"
"P.S./ M.S.138 Sunrise","Q138","7180483","906","7925.4779","General Academic","K-8","251-11 WELLER AVENUE","QUEENS","NY","11422","Q","40.65987000000000","-73.73434300000000","[-73.734343,40.65987]","EMS","C",,,,,,,,,,,"2.272","12","51","33","3","2.367","12","47","30","9"
"P.S./I.S. 104 The Fort Hamilton School","K104","8023171","1296","6190.7184","General Academic","K-8","9115 5 AVENUE","BROOKLYN","NY","11209","K","40.61848080000000","-74.02877490000000","[-74.0287749,40.6184808]","EMS","A",,,,,,,,,,,"2.740","4","31","52","13","3.180","2","18","40","40"
"P.S./I.S. 113 Anthony J. Pranzo","Q113","5355333","696","7694.4440","General Academic","Intermediate","78-23 87TH STREET","QUEENS","NY","11385","Q","40.70557320000000","-73.86220840000000","[-73.8622084,40.7055732]","EMS","A",,,,,,,,,,,"2.928","1","20","62","15","3.242","1","14","44","40"
"P.S./I.S. 137 Rachel Jean Mitchell","K137","4082492","365","11184.9096","General Academic","K-8","121 SARATOGA AVENUE","BROOKLYN","NY","11233","K","40.68223400000000","-73.91663100000000","[-73.916631,40.682234]","EMS","D",,,,,,,,,,,"1.949","23","58","18","0","2.232","14","52","29","4"
"P.S./I.S. 187 Hudson Cliffs","M187","6001913","784","7655.5013","General Academic","K-8","349 CABRINI BOULEVARD","MANHATTAN","NY","10040","M","40.85634910000000","-73.93735740000000","[-73.9373574,40.8563491]","EMS","A",,,,,,,,,,,"2.565","7","39","43","10","2.878","6","28","37","28"
"P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership","M210","4005096","441","9081.8503","General Academic","K-8","501-503 WEST 152 STREET","MANHATTAN","NY","10031","M","40.82984660000000","-73.94459429999999","[-73.94459429999999,40.8298466]","EMS","B",,,,,,,,,,,"2.242","12","54","30","3","2.505","8","44","36","11"
"P.S./I.S. 217 Roosevelt Island","M217","3711640","409","9074.9144","General Academic","K-8","645 MAIN STREET","MANHATTAN","NY","10044","M","40.76384440000000","-73.94813289999999","[-73.94813289999999,40.7638444]","EMS","B",,,,,,,,,,,"2.484","10","37","46","6","2.928","5","28","34","31"
"P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School","X218","6940066","838","8281.7017","General Academic","K-8","1220 GERARD AVENUE","BRONX","NY","10452","X","40.83567900000000","-73.91956499999999","[-73.91956499999999,40.835679]","EMS","A",,,,,,,,,,,"2.373","8","49","39","3","2.740","7","35","35","23"
"P.S./I.S. 295","Q295","3304871","514","6429.7101","General Academic","K-8","222-14 JAMAICA AVENUE","QUEENS","NY","11428","Q","40.71963340000000","-73.73298450000000","[-73.7329845,40.7196334]","EMS","B",,,,,,,,,,,"2.570","4","43","45","8","2.949","2","31","36","30"
"P.S./I.S. 323","K323","4860930","583","8337.7873","General Academic","K-8","210 CHESTER STREET","BROOKLYN","NY","11212","K","40.66618290000000","-73.91126799999999","[-73.91126799999999,40.6661829]","EMS","B",,,,,,,,,,,"2.141","14","59","24","2","2.173","14","56","25","3"
"P.S./I.S. 78Q","Q078","2677016","247","10838.1215","General Academic","Elementary","48-09 CENTER BOULEVARD","QUEENS","NY","11109","Q","40.74839570000000","-73.95680600000000","[-73.956806,40.7483957]","EMS","B",,,,,,,,,,,"2.610","7","34","50","9","3.000","1","30","36","32"
"P.S./M.S 042 R. Vernam","Q042","6649132","712","9338.6685","General Academic","K-8","488 BEACH 66 STREET","QUEENS","NY","11692","Q","40.59480050000000","-73.79531370000000","[-73.7953137,40.5948005]","EMS","C",,,,,,,,,,,"1.949","26","53","17","2","2.204","19","48","23","8"
"P.S./M.S. 004 Crotona Park West","X004","6207032","427","14536.3747","General Academic","K-8","1701 FULTON AVENUE","BRONX","NY","10457","X","40.84210530000000","-73.89746989999999","[-73.89746989999999,40.8421053]","EMS","B",,,,,,,,,,,"2.101","18","56","22","3","2.444","10","47","30","12"
